# Stats of fedora-review usage
@ fedora-review used, spec file generator probably used, fedora-review not used
#2007,38,1,2336
#2008,62,20,1310
#2009,84,37,1744
2010,82,108,1394
2011,229,71,1187
2012,734,166,774
2013,1101,198,1195
2014,1228,165,1277
2015,1188,124,940
2016,1394,235,876
2017,1120,369,845
2018,1057,413,563
2019,1059,563,243
2020,1563,642,303
2021,967,656,209
2022,693,441,171
#2023,11,12,1
